model,sample_size,Term: 36 months,Term: 60 months,Loan_Grade:A,Loan_Grade:B,Loan_Grade:C,Loan_Grade:D,Loan_Grade:E,Loan_Grade:F,Loan_Grade:G,Loan_SubGrade:A1,Loan_SubGrade:A2,Loan_SubGrade:A3,Loan_SubGrade:A4,Loan_SubGrade:A5,Loan_SubGrade:B1,Loan_SubGrade:B2,Loan_SubGrade:B3,Loan_SubGrade:B4,Loan_SubGrade:B5,Loan_SubGrade:C1,Loan_SubGrade:C2,Loan_SubGrade:C3,Loan_SubGrade:C4,Loan_SubGrade:C5,Loan_SubGrade:D1,Loan_SubGrade:D2,Loan_SubGrade:D3,Loan_SubGrade:D4,Loan_SubGrade:D5,Loan_SubGrade:E1,Loan_SubGrade:E2,Loan_SubGrade:E3,Loan_SubGrade:E4,Loan_SubGrade:E5,Loan_SubGrade:F1,Loan_SubGrade:F2,Loan_SubGrade:F3,Loan_SubGrade:F4,Loan_SubGrade:F5,Loan_SubGrade:G1,Loan_SubGrade:G2,Loan_SubGrade:G3,Loan_SubGrade:G4,Loan_SubGrade:1 year,Employment_Length:10+ years,Employment_Length:2 years,Employment_Length:3 years,Employment_Length:4 years,Employment_Length:5 years,Employment_Length:6 years,Employment_Length:7 years,Employment_Length:8 years,Employment_Length:9 years,Employment_Length:< 1 year,Employment_Length:unknown,Employment_Length:ANY,Home_Ownership:MORTGAGE,Home_Ownership:OWN,Home_Ownership:RENT,loan_amnt,int_rate,installment,annual_inc,inq_last_6mths,delinq_2yrs,mths_since_last_delinq,open_acc,total_acc,mths_since_last_major_derog,dti,revol_bal,tot_cur_bal,open_il_24m,chargeoff_within_12_mths,delinq_amnt
RFC,5000,0.02025886252901811,0.007133165581581509,0.0,0.0,0.0,0.05894379532108117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002773899988494463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03935541761258704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004850615175494698,0.005131095469778836,0.028701895956209908,0.03752979720604255,0.05581884676135754,0.026786172659397547,0.0,0.0,0.011390685698504814,0.017122660076054563,0.0,0.012507311777796196,0.004748965597168801,0.013926937974155833,0.03194820808637236,0.0,0.0
RFC,5000,0.00900891810285575,0.019682634882949433,0.0,0.0,0.023603235151684537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03299127755641625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0262218509072727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01032058112328255,0.005545708008304199,0.0028003302741841547,0.02125150569378712,0.009379771466712497,0.012829555686098351,0.0,0.015487689410015486,0.0016869316563066332,0.01820740768591725,0.022489080643992777,0.09180135365460161,0.005530072461409963,0.046256385485011306,0.0112199903068258,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.028383734902959798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006776962351828744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028826130827365605,0.0,0.0,0.0,0.0,0.0,0.020078458058446998,0.1618098480961886,0.007928938525341628,0.005668926074947961,0.022375406012608012,0.0,0.0,0.016404552805925753,0.02712762425450451,0.0,0.10512106644962267,0.03667918125084417,0.003691394560225103,0.010297731344534544,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.0,0.0,0.08600981687439144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02843685244219475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03694771316009485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006072649991994354,0.0,0.0,0.029821856823059975,0.0331488914364722,0.0053139266860082815,0.005031091637096835,0.0011780258895432577,0.0,0.0,0.0,0.027313515086652453,0.0,0.024522049391422635,0.0,0.0078041853999804844,0.03098793111727491,0.0,0.0
RFC,5000,0.015317793604905552,0.025373858610203456,0.0,0.06319521404285708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027996095921076034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031339567752473096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07769080834391189,0.0,0.0,0.02710665862312408,0.03751716622925749,0.0066988734768580055,0.012242304978830283,0.0,0.024651151683915545,0.0,0.0,0.0382356172349774,0.0,0.040567742420065805,0.003007730772619399,0.00922394927255174,0.004147600575625243,0.0,0.0
RFC,5000,0.0161743001330562,0.018540504844493343,0.0,0.038989357878588204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02973550957074589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08350283181103402,0.0,0.08728975820130228,0.0,0.0,0.006535956001348875,0.027945417813482802,0.006972504615909168,0.0420684348299212,0.0,0.0,0.0,0.030378458408949954,0.08102172113119369,0.0,0.007376507634712037,0.03084259698828057,0.021749943089218543,0.007867546291213418,0.0,0.0
RFC,5000,0.0,0.013215933151340398,0.0,0.0,0.0,0.018741580872074337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03554568890911197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030374504117450934,0.0,0.0,0.0,0.0,0.0,0.026832923868454095,0.0,0.06945097738554284,0.03241064933273857,0.009328743328905292,0.0,0.0,0.0,0.0,0.03139835269404695,0.0,0.009782181456929884,0.03257693580514889,0.04680212129397168,0.006111922488924226,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.0,0.0,0.05431930954616486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021568316659763463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05007084931802307,0.0,0.0,0.11358974608161959,0.020079783350977383,0.11766464230466925,0.01328854887326475,0.0,0.0,0.005560379384892018,0.0,0.09524722697431784,0.004822831091570619,0.0789784916827499,0.004891868826021561,0.060858922348388134,0.045654686015407175,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.01858750581689933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05451036847431824,0.0,0.0,0.0,0.02256979538808479,0.15957022158188475,0.03151120067293704,0.2334067424854448,0.033533806016046525,0.008582588071185365,0.0,0.0,0.007292533350534092,0.02379170086003224,0.0,0.0218107484708098,0.007269329999628579,0.006584608923113855,0.0,0.0,0.0
RFC,5000,0.0,0.0,0.0,0.034483271170449525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027120681597890522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015014274299119001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014846264485200045,0.10905169352996677,0.008329495779345386,0.16950689472933356,0.006339529660837978,0.0,0.0,0.0,0.0,0.07739449536962512,0.015068745091997793,0.019675267927612677,0.0,0.02851415354104697,0.03417180745503351,0.0,0.0
