,model,feature,sample,acc,prop
0,RFC,loan_amnt,20000,84.8,49.45
1,RFC,loan_amnt,20000,85.05,48.3
2,RFC,loan_amnt,20000,84.5,46.650000000000006
3,RFC,loan_amnt,20000,84.89999999999999,46.650000000000006
4,RFC,loan_amnt,20000,84.7,45.75
5,RFC,loan_amnt,20000,84.5,44.85
6,RFC,loan_amnt,20000,84.1,44.55
7,RFC,loan_amnt,20000,84.15,44.2
8,RFC,loan_amnt,20000,83.75,44.0
9,RFC,loan_amnt,20000,84.2,44.45
10,RFC,loan_amnt,20000,84.5,44.35
0,GBC,loan_amnt,20000,96.2,49.75
1,GBC,loan_amnt,20000,96.39999999999999,50.05
2,GBC,loan_amnt,20000,96.65,50.3
3,GBC,loan_amnt,20000,96.65,50.2
4,GBC,loan_amnt,20000,96.75,50.3
5,GBC,loan_amnt,20000,96.65,50.2
6,GBC,loan_amnt,20000,96.65,50.2
7,GBC,loan_amnt,20000,96.55,50.1
8,GBC,loan_amnt,20000,96.45,50.1
9,GBC,loan_amnt,20000,96.45,50.0
10,GBC,loan_amnt,20000,96.45,50.0
0,LR,loan_amnt,20000,96.15,50.7
1,LR,loan_amnt,20000,96.2,50.74999999999999
2,LR,loan_amnt,20000,96.2,50.74999999999999
3,LR,loan_amnt,20000,96.2,50.74999999999999
4,LR,loan_amnt,20000,96.15,50.8
5,LR,loan_amnt,20000,96.15,50.8
6,LR,loan_amnt,20000,96.15,50.8
7,LR,loan_amnt,20000,96.2,50.849999999999994
8,LR,loan_amnt,20000,96.1,50.949999999999996
9,LR,loan_amnt,20000,96.1,50.949999999999996
10,LR,loan_amnt,20000,96.15,51.1
0,RFC,loan_amnt,20001,82.75,51.0
1,RFC,loan_amnt,20001,83.25,50.4
2,RFC,loan_amnt,20001,83.2,49.55
3,RFC,loan_amnt,20001,83.2,48.35
4,RFC,loan_amnt,20001,82.5,47.449999999999996
5,RFC,loan_amnt,20001,82.89999999999999,46.650000000000006
6,RFC,loan_amnt,20001,82.39999999999999,46.550000000000004
7,RFC,loan_amnt,20001,82.19999999999999,45.75
8,RFC,loan_amnt,20001,82.19999999999999,45.25
9,RFC,loan_amnt,20001,82.85,45.5
10,RFC,loan_amnt,20001,83.0,44.95
0,GBC,loan_amnt,20001,95.1,52.65
1,GBC,loan_amnt,20001,95.3,52.849999999999994
2,GBC,loan_amnt,20001,95.45,52.800000000000004
3,GBC,loan_amnt,20001,95.39999999999999,52.849999999999994
