,feature,Feature_Importance,sample_size,model
0,Term: 36 months,0.0062,20000,rfc
1,Term: 60 months,0.0056,20000,rfc
2,Loan_Grade:A,0.0136,20000,rfc
3,Loan_Grade:B,0.0086,20000,rfc
4,Loan_Grade:C,0.0062,20000,rfc
5,Loan_Grade:D,0.0065,20000,rfc
6,Loan_Grade:E,0.0034,20000,rfc
7,Loan_Grade:F,0.0015,20000,rfc
8,Loan_Grade:G,0.0008,20000,rfc
9,Loan_SubGrade:A1,0.0055,20000,rfc
10,Loan_SubGrade:A2,0.0022,20000,rfc
11,Loan_SubGrade:A3,0.0025,20000,rfc
12,Loan_SubGrade:A4,0.0025,20000,rfc
13,Loan_SubGrade:A5,0.0023,20000,rfc
14,Loan_SubGrade:B1,0.0052,20000,rfc
15,Loan_SubGrade:B2,0.0065,20000,rfc
16,Loan_SubGrade:B3,0.0041,20000,rfc
17,Loan_SubGrade:B4,0.0046,20000,rfc
18,Loan_SubGrade:B5,0.0058,20000,rfc
19,Loan_SubGrade:C1,0.0065,20000,rfc
20,Loan_SubGrade:C2,0.0047,20000,rfc
21,Loan_SubGrade:C3,0.0048,20000,rfc
22,Loan_SubGrade:C4,0.0051,20000,rfc
23,Loan_SubGrade:C5,0.0045,20000,rfc
24,Loan_SubGrade:D1,0.0038,20000,rfc
25,Loan_SubGrade:D2,0.0035,20000,rfc
26,Loan_SubGrade:D3,0.0028,20000,rfc
27,Loan_SubGrade:D4,0.003,20000,rfc
28,Loan_SubGrade:D5,0.003,20000,rfc
29,Loan_SubGrade:E1,0.0015,20000,rfc
30,Loan_SubGrade:E2,0.0012,20000,rfc
31,Loan_SubGrade:E3,0.002,20000,rfc
32,Loan_SubGrade:E4,0.0015,20000,rfc
33,Loan_SubGrade:E5,0.0015,20000,rfc
34,Loan_SubGrade:F1,0.0008,20000,rfc
35,Loan_SubGrade:F2,0.0005,20000,rfc
36,Loan_SubGrade:F3,0.0005,20000,rfc
37,Loan_SubGrade:F4,0.0005,20000,rfc
38,Loan_SubGrade:F5,0.0003,20000,rfc
39,Loan_SubGrade:G1,0.0005,20000,rfc
40,Loan_SubGrade:G2,0.0001,20000,rfc
41,Loan_SubGrade:G3,0.0,20000,rfc
