,model,feature,sample,acc,prop
0,RFC,loan_amnt,5000,94.0,50.349999999999994
1,RFC,loan_amnt,5000,94.15,50.2
2,RFC,loan_amnt,5000,94.35,49.5
3,RFC,loan_amnt,5000,94.6,49.55
4,RFC,loan_amnt,5000,94.39999999999999,49.55
5,RFC,loan_amnt,5000,94.39999999999999,49.15
6,RFC,loan_amnt,5000,94.3,48.949999999999996
7,RFC,loan_amnt,5000,93.8,48.449999999999996
8,RFC,loan_amnt,5000,94.25,48.9
9,RFC,loan_amnt,5000,94.25,49.2
10,RFC,loan_amnt,5000,93.85,48.8
0,GBC,loan_amnt,5000,94.35,52.5
1,GBC,loan_amnt,5000,94.39999999999999,52.349999999999994
2,GBC,loan_amnt,5000,95.05,52.400000000000006
3,GBC,loan_amnt,5000,95.45,52.2
4,GBC,loan_amnt,5000,95.85000000000001,52.5
5,GBC,loan_amnt,5000,96.25,52.400000000000006
6,GBC,loan_amnt,5000,95.7,52.949999999999996
7,GBC,loan_amnt,5000,95.85000000000001,52.800000000000004
8,GBC,loan_amnt,5000,95.35,53.300000000000004
9,GBC,loan_amnt,5000,95.0,53.65
10,GBC,loan_amnt,5000,94.89999999999999,53.75
0,LR,loan_amnt,5000,88.9,56.35
1,LR,loan_amnt,5000,88.6,56.65
2,LR,loan_amnt,5000,88.4,56.85
3,LR,loan_amnt,5000,88.35,57.099999999999994
4,LR,loan_amnt,5000,88.3,57.35
5,LR,loan_amnt,5000,88.3,57.35
6,LR,loan_amnt,5000,88.3,57.35
7,LR,loan_amnt,5000,88.3,57.35
8,LR,loan_amnt,5000,88.55,57.599999999999994
9,LR,loan_amnt,5000,88.55,57.9
10,LR,loan_amnt,5000,88.55,57.9
0,RFC,loan_amnt,10000,94.3,51.2
1,RFC,loan_amnt,10000,94.8,50.5
2,RFC,loan_amnt,10000,94.89999999999999,50.7
3,RFC,loan_amnt,10000,94.85,50.64999999999999
4,RFC,loan_amnt,10000,94.85,50.349999999999994
5,RFC,loan_amnt,10000,94.89999999999999,50.4
6,RFC,loan_amnt,10000,94.95,50.449999999999996
7,RFC,loan_amnt,10000,94.55,50.449999999999996
8,RFC,loan_amnt,10000,94.6,50.5
9,RFC,loan_amnt,10000,94.69999999999999,50.2
10,RFC,loan_amnt,10000,94.5,50.2
0,GBC,loan_amnt,10000,96.5,52.300000000000004
1,GBC,loan_amnt,10000,96.75,52.849999999999994
2,GBC,loan_amnt,10000,96.45,53.15
3,GBC,loan_amnt,10000,96.35000000000001,53.15
4,GBC,loan_amnt,10000,96.3,53.2
5,GBC,loan_amnt,10000,96.55,52.949999999999996
6,GBC,loan_amnt,10000,96.15,53.25
7,GBC,loan_amnt,10000,96.25,53.65
8,GBC,loan_amnt,10000,96.35000000000001,53.55
9,GBC,loan_amnt,10000,96.1,53.7
10,GBC,loan_amnt,10000,96.0,53.5
0,LR,loan_amnt,10000,93.8,55.00000000000001
1,LR,loan_amnt,10000,93.8,55.00000000000001
2,LR,loan_amnt,10000,93.8,55.00000000000001
3,LR,loan_amnt,10000,93.95,55.15
4,LR,loan_amnt,10000,93.95,55.15
5,LR,loan_amnt,10000,94.0,55.2
6,LR,loan_amnt,10000,94.0,55.2
7,LR,loan_amnt,10000,94.0,55.2
8,LR,loan_amnt,10000,94.0,55.2
9,LR,loan_amnt,10000,94.0,55.2
10,LR,loan_amnt,10000,94.0,55.2
0,RFC,loan_amnt,20000,96.65,49.15
1,RFC,loan_amnt,20000,96.75,48.949999999999996
2,RFC,loan_amnt,20000,96.65,48.75
3,RFC,loan_amnt,20000,96.89999999999999,48.6
4,RFC,loan_amnt,20000,96.95,48.449999999999996
5,RFC,loan_amnt,20000,96.89999999999999,48.3
6,RFC,loan_amnt,20000,96.95,48.449999999999996
7,RFC,loan_amnt,20000,97.0,48.4
8,RFC,loan_amnt,20000,96.8,48.3
9,RFC,loan_amnt,20000,96.75,48.25
10,RFC,loan_amnt,20000,96.75,48.05
0,GBC,loan_amnt,20000,97.25,50.64999999999999
1,GBC,loan_amnt,20000,97.39999999999999,50.6
2,GBC,loan_amnt,20000,97.15,51.05
3,GBC,loan_amnt,20000,97.1,51.0
4,GBC,loan_amnt,20000,97.25,51.15
5,GBC,loan_amnt,20000,97.25,51.05
6,GBC,loan_amnt,20000,97.1,51.2
7,GBC,loan_amnt,20000,97.05,51.15
8,GBC,loan_amnt,20000,97.1,51.1
9,GBC,loan_amnt,20000,97.1,51.1
10,GBC,loan_amnt,20000,96.95,51.15
0,LR,loan_amnt,20000,95.55,52.15
1,LR,loan_amnt,20000,95.55,52.15
2,LR,loan_amnt,20000,95.55,52.15
3,LR,loan_amnt,20000,95.45,52.25
4,LR,loan_amnt,20000,95.5,52.300000000000004
5,LR,loan_amnt,20000,95.5,52.300000000000004
6,LR,loan_amnt,20000,95.5,52.300000000000004
7,LR,loan_amnt,20000,95.39999999999999,52.400000000000006
8,LR,loan_amnt,20000,95.39999999999999,52.400000000000006
9,LR,loan_amnt,20000,95.39999999999999,52.400000000000006
10,LR,loan_amnt,20000,95.39999999999999,52.400000000000006
0,RFC,loan_amnt,40000,96.55,50.4
1,RFC,loan_amnt,40000,96.75,50.2
2,RFC,loan_amnt,40000,97.05,49.9
3,RFC,loan_amnt,40000,97.2,49.75
4,RFC,loan_amnt,40000,97.15,49.4
5,RFC,loan_amnt,40000,96.85000000000001,49.5
6,RFC,loan_amnt,40000,96.95,49.6
7,RFC,loan_amnt,40000,97.0,49.55
8,RFC,loan_amnt,40000,97.05,49.5
9,RFC,loan_amnt,40000,96.85000000000001,49.3
10,RFC,loan_amnt,40000,96.5,49.45
0,GBC,loan_amnt,40000,91.5,52.55
1,GBC,loan_amnt,40000,91.5,53.05
2,GBC,loan_amnt,40000,91.75,53.2
3,GBC,loan_amnt,40000,91.55,53.400000000000006
4,GBC,loan_amnt,40000,91.7,53.15
5,GBC,loan_amnt,40000,91.7,53.05
6,GBC,loan_amnt,40000,91.7,53.349999999999994
7,GBC,loan_amnt,40000,91.64999999999999,52.900000000000006
8,GBC,loan_amnt,40000,91.45,52.400000000000006
9,GBC,loan_amnt,40000,91.35,51.800000000000004
10,GBC,loan_amnt,40000,91.55,52.1
0,LR,loan_amnt,40000,85.39999999999999,44.85
1,LR,loan_amnt,40000,85.39999999999999,45.25
2,LR,loan_amnt,40000,85.75,45.7
3,LR,loan_amnt,40000,86.1,46.35
4,LR,loan_amnt,40000,86.15,47.0
