,feature,Feature_Importance,sample_size,model
0,Term: 36 months,0.0077,5000,rfc
1,Term: 60 months,0.0079,5000,rfc
2,Loan_Grade:A,0.0125,5000,rfc
3,Loan_Grade:B,0.0079,5000,rfc
4,Loan_Grade:C,0.0068,5000,rfc
5,Loan_Grade:D,0.0079,5000,rfc
6,Loan_Grade:E,0.0038,5000,rfc
7,Loan_Grade:F,0.0032,5000,rfc
8,Loan_Grade:G,0.001,5000,rfc
9,Loan_SubGrade:A1,0.0018,5000,rfc
10,Loan_SubGrade:A2,0.0029,5000,rfc
11,Loan_SubGrade:A3,0.0025,5000,rfc
12,Loan_SubGrade:A4,0.0033,5000,rfc
13,Loan_SubGrade:A5,0.0032,5000,rfc
14,Loan_SubGrade:B1,0.0033,5000,rfc
15,Loan_SubGrade:B2,0.0041,5000,rfc
16,Loan_SubGrade:B3,0.0034,5000,rfc
17,Loan_SubGrade:B4,0.004,5000,rfc
18,Loan_SubGrade:B5,0.0036,5000,rfc
19,Loan_SubGrade:C1,0.0044,5000,rfc
20,Loan_SubGrade:C2,0.0033,5000,rfc
21,Loan_SubGrade:C3,0.0032,5000,rfc
22,Loan_SubGrade:C4,0.0053,5000,rfc
23,Loan_SubGrade:C5,0.0041,5000,rfc
24,Loan_SubGrade:D1,0.0039,5000,rfc
25,Loan_SubGrade:D2,0.0035,5000,rfc
26,Loan_SubGrade:D3,0.0037,5000,rfc
27,Loan_SubGrade:D4,0.0037,5000,rfc
28,Loan_SubGrade:D5,0.0047,5000,rfc
29,Loan_SubGrade:E1,0.0027,5000,rfc
30,Loan_SubGrade:E2,0.0011,5000,rfc
31,Loan_SubGrade:E3,0.0014,5000,rfc
32,Loan_SubGrade:E4,0.0018,5000,rfc
33,Loan_SubGrade:E5,0.0019,5000,rfc
34,Loan_SubGrade:F1,0.0008,5000,rfc
35,Loan_SubGrade:F2,0.0003,5000,rfc
36,Loan_SubGrade:F3,0.0,5000,rfc
37,Loan_SubGrade:F4,0.0002,5000,rfc
38,Loan_SubGrade:F5,0.0002,5000,rfc
39,Loan_SubGrade:G1,0.001,5000,rfc
40,Loan_SubGrade:G2,0.0001,5000,rfc
41,Loan_SubGrade:G3,0.0,5000,rfc
42,Loan_SubGrade:G4,0.0001,5000,rfc
43,Loan_SubGrade:1 year,0.0063,5000,rfc
44,Employment_Length:10+ years,0.0117,5000,rfc
45,Employment_Length:2 years,0.0069,5000,rfc
46,Employment_Length:3 years,0.0063,5000,rfc
47,Employment_Length:4 years,0.0053,5000,rfc
48,Employment_Length:5 years,0.0057,5000,rfc
49,Employment_Length:6 years,0.0045,5000,rfc
50,Employment_Length:7 years,0.004,5000,rfc
51,Employment_Length:8 years,0.0032,5000,rfc
52,Employment_Length:9 years,0.0022,5000,rfc
53,Employment_Length:< 1 year,0.0078,5000,rfc
54,Employment_Length:unknown,0.0097,5000,rfc
55,Employment_Length:ANY,0.0002,5000,rfc
56,Home_Ownership:MORTGAGE,0.013,5000,rfc
57,Home_Ownership:OWN,0.0064,5000,rfc
58,Home_Ownership:RENT,0.0087,5000,rfc
59,loan_amnt,0.0598,5000,rfc
60,int_rate,0.1151,5000,rfc
61,installment,0.074,5000,rfc
62,annual_inc,0.0644,5000,rfc
63,inq_last_6mths,0.0203,5000,rfc
64,delinq_2yrs,0.0111,5000,rfc
65,mths_since_last_delinq,0.0331,5000,rfc
66,open_acc,0.0472,5000,rfc
67,total_acc,0.0627,5000,rfc
68,mths_since_last_major_derog,0.0223,5000,rfc
69,dti,0.0709,5000,rfc
70,revol_bal,0.0672,5000,rfc
71,tot_cur_bal,0.071,5000,rfc
72,open_il_24m,0.0355,5000,rfc
73,chargeoff_within_12_mths,0.0011,5000,rfc
74,delinq_amnt,0.0001,5000,rfc
0,Term: 36 months,0.0001,5000,gbc
1,Term: 60 months,0.0003,5000,gbc
2,Loan_Grade:A,0.0198,5000,gbc
3,Loan_Grade:B,0.0023,5000,gbc
4,Loan_Grade:C,0.0012,5000,gbc
5,Loan_Grade:D,0.0044,5000,gbc
6,Loan_Grade:E,0.0006,5000,gbc
7,Loan_Grade:F,0.0,5000,gbc
8,Loan_Grade:G,0.0,5000,gbc
9,Loan_SubGrade:A1,0.0025,5000,gbc
10,Loan_SubGrade:A2,0.0019,5000,gbc
11,Loan_SubGrade:A3,0.0013,5000,gbc
12,Loan_SubGrade:A4,0.0059,5000,gbc
13,Loan_SubGrade:A5,0.0078,5000,gbc
14,Loan_SubGrade:B1,0.0025,5000,gbc
15,Loan_SubGrade:B2,0.0107,5000,gbc
16,Loan_SubGrade:B3,0.0164,5000,gbc
17,Loan_SubGrade:B4,0.0087,5000,gbc
18,Loan_SubGrade:B5,0.0019,5000,gbc
19,Loan_SubGrade:C1,0.0007,5000,gbc
20,Loan_SubGrade:C2,0.0077,5000,gbc
21,Loan_SubGrade:C3,0.0109,5000,gbc
22,Loan_SubGrade:C4,0.0144,5000,gbc
23,Loan_SubGrade:C5,0.0023,5000,gbc
24,Loan_SubGrade:D1,0.0018,5000,gbc
25,Loan_SubGrade:D2,0.007,5000,gbc
26,Loan_SubGrade:D3,0.0102,5000,gbc
27,Loan_SubGrade:D4,0.0109,5000,gbc
28,Loan_SubGrade:D5,0.005,5000,gbc
29,Loan_SubGrade:E1,0.0033,5000,gbc
30,Loan_SubGrade:E2,0.0022,5000,gbc
31,Loan_SubGrade:E3,0.0018,5000,gbc
32,Loan_SubGrade:E4,0.0022,5000,gbc
33,Loan_SubGrade:E5,0.0036,5000,gbc
34,Loan_SubGrade:F1,0.0003,5000,gbc
35,Loan_SubGrade:F2,0.0001,5000,gbc
36,Loan_SubGrade:F3,0.0,5000,gbc
37,Loan_SubGrade:F4,0.0,5000,gbc
38,Loan_SubGrade:F5,0.0,5000,gbc
39,Loan_SubGrade:G1,0.0001,5000,gbc
40,Loan_SubGrade:G2,0.0006,5000,gbc
41,Loan_SubGrade:G3,0.0,5000,gbc
42,Loan_SubGrade:G4,0.0,5000,gbc
43,Loan_SubGrade:1 year,0.0017,5000,gbc
44,Employment_Length:10+ years,0.001,5000,gbc
45,Employment_Length:2 years,0.0007,5000,gbc
